Date,Open,High,Low,Close,Adj Close,Volume
2019-04-15,65.000000,66.000000,60.320999,62.000000,62.000000,25764700
2019-04-22,61.000000,74.168999,59.939999,66.220001,66.220001,27100400
2019-04-29,66.529999,80.250000,64.750000,79.180000,79.180000,14352900
2019-05-06,75.010002,80.790001,73.250000,79.629997,79.629997,9195800
2019-05-13,77.389999,90.279999,70.599998,89.980003,89.980003,15273300
2019-05-20,90.099998,91.459999,74.199997,76.250000,76.250000,13642000
2019-05-27,76.800003,83.169998,73.583000,79.730003,79.730003,6743700
2019-06-03,80.000000,98.889999,75.650002,94.050003,94.050003,16513000
2019-06-10,98.510002,105.985001,91.570000,100.290001,100.290001,17460500
2019-06-17,101.000000,107.339996,97.000000,100.470001,100.470001,12426800
2019-06-24,100.849998,101.500000,84.605003,88.790001,88.790001,18683500
2019-07-01,85.129997,91.970001,83.099998,91.879997,91.879997,12461400
2019-07-08,91.440002,94.930000,89.099998,93.300003,93.300003,9884300
2019-07-15,94.000000,101.987000,92.879997,93.379997,93.379997,11966300
2019-07-22,94.190002,104.489998,93.504997,102.199997,102.199997,9919400
2019-07-29,102.599998,102.998001,92.099998,93.660004,93.660004,10028000
2019-08-05,90.699997,95.839996,87.290001,94.199997,94.199997,5525300
2019-08-12,93.050003,96.223000,89.690002,92.529999,92.529999,5551300
2019-08-19,94.180000,96.199997,90.410004,91.629997,91.629997,4983500
2019-08-26,92.330002,93.690002,88.710999,91.669998,91.669998,4709400
2019-09-02,91.500000,96.500000,84.860001,85.410004,85.410004,16221100
2019-09-09,85.750000,85.940002,76.809998,78.849998,78.849998,14912500
2019-09-16,78.500000,86.000000,78.260002,82.629997,82.629997,9322100
2019-09-23,82.290001,83.599998,75.089996,76.040001,76.040001,8013900
2019-09-30,76.129997,78.489998,73.389999,76.529999,76.529999,8528600
2019-10-07,76.989998,77.430000,70.902000,71.349998,71.349998,10752900
2019-10-14,70.459999,71.269997,64.529999,66.080002,66.080002,27172300
2019-10-21,65.290001,66.500000,60.967999,63.450001,63.450001,16605600
2019-10-28,63.959999,70.550003,62.259998,70.389999,70.389999,16972000
2019-11-04,70.809998,70.849998,65.360001,69.849998,69.849998,7297000
2019-11-11,69.510002,71.099998,66.709999,70.010002,70.010002,8179800
2019-11-18,70.470001,74.000000,68.190002,73.160004,73.160004,10340300
2019-11-25,73.800003,75.839996,72.860001,74.500000,74.500000,5641400
