Date,New_cases,StringencyIndex_Average_ForDisplay
2021-05-31,2606710,57.08890365448513
2021-06-07,2058307,56.74740863787385
2021-06-14,1797118,55.23006644518286
2021-06-21,1661893,55.06033222591368
2021-06-28,1749929,53.6657142857144
2021-07-05,1789831,51.27142857142852
2021-07-12,2205891,49.529933554817205
2021-07-19,2409332,49.967009966777354
2021-07-26,2557759,49.58687707641186
2021-08-02,2720106,48.839501661129496
2021-08-09,2893267,47.99229235880391
2021-08-16,2919433,48.15923588039862
2021-08-23,2969881,47.503455149501576
2021-08-30,2997291,47.68411960132886
2021-09-06,2889231,47.7808637873753
2021-09-13,2544538,47.296179401993264
2021-09-20,2531171,46.89475083056478
2021-09-27,2211790,46.8483388704319
2021-10-04,2105060,45.606112956810605
2021-10-11,2076490,44.859867109634486
2021-10-18,2056406,44.80966777408632
2021-10-25,2166722,44.19458471760799
2021-11-01,2307826,44.09770764119599
2021-11-08,2412382,44.06717607973417
2021-11-15,2755641,43.78847176079728
2021-11-22,3144392,45.117109634551454
2021-11-29,3351979,46.146644518272474
2021-12-06,3626398,47.1179069767442
2021-12-13,3657848,46.90990033222593
2021-12-20,4018678,46.3670099667774
2021-12-27,5225514,47.20973421926907
2022-01-03,9627000,47.37428571428576
2022-01-10,15320638,47.090465116279155
2022-01-17,17977427,46.23179401993362
2022-01-24,19762211,45.89923588039872
2022-01-31,19392382,44.990930232558235
2022-02-07,15865215,43.671395348837244
2022-02-14,12704050,41.99099667774089
2022-02-21,9991797,40.38039867109634
2022-02-28,8417620,38.542259136212635
2022-03-07,7942806,35.69867109634553
2022-03-14,8655652,33.14342192691024
2022-03-21,9564706,31.51601328903655
2022-03-28,8873239,30.504186046511585
2022-04-04,7695091,29.167774086378714
2022-04-11,6301402,28.29116279069768
2022-04-18,4920040,27.093588039867125
2022-04-25,4081658,25.7175747508306
2022-05-02,3517427,24.643122923588084
2022-05-09,3425093,23.120166112956845
2022-05-16,3564449,22.696777408637885
2022-05-23,3457662,22.042890365448503
2022-05-30,3064581,21.68398671096343
2022-06-06,2892815,21.33119601328899
2022-06-13,3102922,20.815415282392
2022-06-20,3299908,19.71259136212621
2022-06-27,4090730,18.906843853820554
2022-07-04,4954284,18.473056478405255
2022-07-11,5673907,18.510564784053113
2022-07-18,6200402,18.822325581395326
2022-07-25,6384964,18.623621262458435
2022-08-01,6278688,18.288405315614558
2022-08-08,5614214,17.884551495016577
2022-08-15,5049206,17.885348837209268
2022-08-22,4854724,17.552757475083023
2022-08-29,4401925,17.315614617940188
2022-09-05,3696006,16.969169435215928
2022-09-12,3108105,17.06720930232555
2022-09-19,3069633,16.80700996677737
2022-09-26,2769912,16.61664451827241
2022-10-03,2955894,16.230930232558126
2022-10-10,2929756,16.04634551495015
2022-10-17,2932486,15.962990033222587
2022-10-24,2654394,15.584418604651146
2022-10-31,2281635,15.279401993355476
2022-11-07,2123619,15.459734219269091
2022-11-14,2381911,15.7358361774744
2022-11-21,2354675,15.881240601503782
2022-11-28,2867002,15.892800000000031
2022-12-05,3014468,15.949399141630924
